Store Name,City,State,ZIP,Pharmacy,Gas Station,Curbside,Delivery,Services
Alpine,Grand Rapids,MI,49544,Yes,Yes,No,Yes,"Pharmacy, Gas Station, Delivery"
Holton Rd,North Muskegon,MI,49445,Yes,Yes,Yes,Yes,"Pharmacy, Gas Station, Curbside Pickup, Delivery"
